"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,1,458,254,204,7,"entre 7 y 14 dias","mayor a 14 dias"
"2",2,2,262,188,74,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"3",3,3,426,38,389,10,"menor a 7 dias","mayor a 14 dias"
"4",4,6,315,81,234,4,"menor a 7 dias","entre 7 y 14 dias"
"5",5,1,251,42,208,4,"menor a 7 dias","entre 7 y 14 dias"
"6",6,1,141,279,138,16,"entre 7 y 14 dias","menor a 7 dias"
"7",7,4,475,26,449,10,"menor a 7 dias","mayor a 14 dias"
"8",8,5,390,283,107,7,"entre 7 y 14 dias","mayor a 14 dias"
"9",9,2,458,169,290,4,"entre 7 y 14 dias","mayor a 14 dias"
"10",10,2,303,162,141,10,"menor a 7 dias","entre 7 y 14 dias"
"11",11,4,120,20,99,6,"menor a 7 dias","menor a 7 dias"
"12",12,4,223,260,37,3,"entre 7 y 14 dias","entre 7 y 14 dias"
"13",13,4,210,215,5,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"14",14,4,150,173,23,4,"entre 7 y 14 dias","menor a 7 dias"
"15",15,1,378,148,230,16,"menor a 7 dias","mayor a 14 dias"
"16",16,3,343,240,104,8,"entre 7 y 14 dias","mayor a 14 dias"
"17",17,5,446,130,316,14,"menor a 7 dias","mayor a 14 dias"
"18",18,3,526,36,490,1,"menor a 7 dias","mayor a 14 dias"
"19",19,6,148,769,621,4,"mayor a 14 dias","menor a 7 dias"
"20",20,2,630,181,449,16,"entre 7 y 14 dias","mayor a 14 dias"
"21",21,2,513,223,290,15,"entre 7 y 14 dias","mayor a 14 dias"
"22",22,6,333,445,112,8,"mayor a 14 dias","entre 7 y 14 dias"
"23",23,5,237,140,96,5,"menor a 7 dias","entre 7 y 14 dias"
"24",24,2,56,101,45,6,"menor a 7 dias","menor a 7 dias"
"25",25,2,300,208,92,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"26",26,4,300,364,65,6,"mayor a 14 dias","entre 7 y 14 dias"
"27",27,5,372,237,134,4,"entre 7 y 14 dias","mayor a 14 dias"
"28",28,2,323,343,20,10,"mayor a 14 dias","entre 7 y 14 dias"
"29",29,2,162,14,148,6,"menor a 7 dias","menor a 7 dias"
"30",30,2,243,1214,971,7,"mayor a 14 dias","entre 7 y 14 dias"
"31",31,6,290,601,311,7,"mayor a 14 dias","entre 7 y 14 dias"
"32",32,5,215,129,86,16,"menor a 7 dias","entre 7 y 14 dias"
