"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,3,200,898,699,16,"mayor a 14 dias","entre 7 y 14 dias"
"2",2,6,221,69,152,7,"menor a 7 dias","entre 7 y 14 dias"
"3",3,2,56,2,54,1,"menor a 7 dias","menor a 7 dias"
"4",4,1,144,181,37,10,"entre 7 y 14 dias","menor a 7 dias"
"5",5,1,276,780,504,7,"mayor a 14 dias","entre 7 y 14 dias"
"6",6,3,303,486,183,10,"mayor a 14 dias","entre 7 y 14 dias"
"7",7,1,252,427,175,14,"mayor a 14 dias","entre 7 y 14 dias"
"8",8,3,168,201,33,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"9",9,3,355,210,146,16,"entre 7 y 14 dias","mayor a 14 dias"
"10",10,3,465,478,13,7,"mayor a 14 dias","mayor a 14 dias"
"11",11,2,206,24,182,8,"menor a 7 dias","entre 7 y 14 dias"
"12",12,2,522,266,255,7,"entre 7 y 14 dias","mayor a 14 dias"
"13",13,4,207,562,355,4,"mayor a 14 dias","entre 7 y 14 dias"
"14",14,2,349,541,192,10,"mayor a 14 dias","mayor a 14 dias"
"15",15,2,230,256,26,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"16",16,5,333,479,146,16,"mayor a 14 dias","entre 7 y 14 dias"
"17",17,6,346,68,278,10,"menor a 7 dias","mayor a 14 dias"
"18",18,2,188,896,709,10,"mayor a 14 dias","entre 7 y 14 dias"
"19",19,2,405,235,169,4,"entre 7 y 14 dias","mayor a 14 dias"
"20",20,4,472,142,330,3,"menor a 7 dias","mayor a 14 dias"
"21",21,4,168,352,184,16,"mayor a 14 dias","entre 7 y 14 dias"
"22",22,1,190,353,163,8,"mayor a 14 dias","entre 7 y 14 dias"
"23",23,3,103,163,60,5,"menor a 7 dias","menor a 7 dias"
"24",24,3,178,201,22,2,"entre 7 y 14 dias","entre 7 y 14 dias"
"25",25,2,225,251,26,15,"entre 7 y 14 dias","entre 7 y 14 dias"
"26",26,1,292,189,104,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"27",27,4,424,96,328,5,"menor a 7 dias","mayor a 14 dias"
"28",28,1,244,494,250,5,"mayor a 14 dias","entre 7 y 14 dias"
"29",29,6,198,148,50,2,"menor a 7 dias","entre 7 y 14 dias"
"30",30,6,282,364,81,10,"mayor a 14 dias","entre 7 y 14 dias"
"31",31,5,105,282,177,7,"entre 7 y 14 dias","menor a 7 dias"
"32",32,5,109,156,47,10,"menor a 7 dias","menor a 7 dias"
"33",33,1,190,46,144,8,"menor a 7 dias","entre 7 y 14 dias"
"34",34,4,235,841,606,10,"mayor a 14 dias","entre 7 y 14 dias"
"35",35,1,293,74,219,4,"menor a 7 dias","entre 7 y 14 dias"
"36",36,3,209,170,39,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"37",37,1,184,27,157,6,"menor a 7 dias","entre 7 y 14 dias"
"38",38,1,298,133,165,7,"menor a 7 dias","entre 7 y 14 dias"
