"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,1,181,1289,1108,9,"mayor a 14 dias","entre 7 y 14 dias"
"2",2,1,164,53,110,13,"menor a 7 dias","menor a 7 dias"
"3",3,3,116,204,88,1,"entre 7 y 14 dias","menor a 7 dias"
"4",4,3,224,67,157,4,"menor a 7 dias","entre 7 y 14 dias"
"5",5,2,464,72,392,3,"menor a 7 dias","mayor a 14 dias"
"6",6,4,378,169,210,16,"entre 7 y 14 dias","mayor a 14 dias"
"7",7,1,504,281,223,8,"entre 7 y 14 dias","mayor a 14 dias"
"8",8,6,299,395,95,10,"mayor a 14 dias","entre 7 y 14 dias"
"9",9,6,259,462,203,10,"mayor a 14 dias","entre 7 y 14 dias"
"10",10,3,480,14,465,16,"menor a 7 dias","mayor a 14 dias"
"11",11,3,137,377,239,15,"mayor a 14 dias","menor a 7 dias"
"12",12,6,508,42,466,16,"menor a 7 dias","mayor a 14 dias"
"13",13,2,255,725,470,8,"mayor a 14 dias","entre 7 y 14 dias"
"14",14,5,446,251,195,9,"entre 7 y 14 dias","mayor a 14 dias"
"15",15,1,147,124,23,3,"menor a 7 dias","menor a 7 dias"
"16",16,1,277,120,158,16,"menor a 7 dias","entre 7 y 14 dias"
"17",17,3,219,177,42,2,"entre 7 y 14 dias","entre 7 y 14 dias"
"18",18,2,127,35,93,15,"menor a 7 dias","menor a 7 dias"
"19",19,3,136,1,135,10,"menor a 7 dias","menor a 7 dias"
"20",20,6,209,198,11,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"21",21,3,140,47,93,7,"menor a 7 dias","menor a 7 dias"
"22",22,2,215,407,192,16,"mayor a 14 dias","entre 7 y 14 dias"
"23",23,4,398,22,376,8,"menor a 7 dias","mayor a 14 dias"
"24",24,3,360,532,172,10,"mayor a 14 dias","mayor a 14 dias"
"25",25,1,410,614,204,16,"mayor a 14 dias","mayor a 14 dias"
"26",26,4,543,85,458,5,"menor a 7 dias","mayor a 14 dias"
"27",27,3,347,454,108,10,"mayor a 14 dias","mayor a 14 dias"
"28",28,6,402,554,152,11,"mayor a 14 dias","mayor a 14 dias"
"29",29,2,595,213,382,10,"entre 7 y 14 dias","mayor a 14 dias"
"30",30,6,255,279,25,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"31",31,4,407,164,243,10,"menor a 7 dias","mayor a 14 dias"
"32",32,6,220,814,594,16,"mayor a 14 dias","entre 7 y 14 dias"
"33",33,3,695,304,392,10,"entre 7 y 14 dias","mayor a 14 dias"
"34",34,5,541,172,369,8,"entre 7 y 14 dias","mayor a 14 dias"
"35",35,4,219,70,149,16,"menor a 7 dias","entre 7 y 14 dias"
"36",36,2,179,465,286,7,"mayor a 14 dias","entre 7 y 14 dias"
"37",37,6,156,84,71,11,"menor a 7 dias","menor a 7 dias"
"38",38,1,21,371,350,10,"mayor a 14 dias","menor a 7 dias"
"39",39,6,396,366,30,16,"mayor a 14 dias","mayor a 14 dias"
"40",40,2,507,709,203,16,"mayor a 14 dias","mayor a 14 dias"
"41",41,2,648,254,394,8,"entre 7 y 14 dias","mayor a 14 dias"
"42",42,4,239,666,427,8,"mayor a 14 dias","entre 7 y 14 dias"
"43",43,4,408,209,199,8,"entre 7 y 14 dias","mayor a 14 dias"
"44",44,4,156,429,272,3,"mayor a 14 dias","menor a 7 dias"
"45",45,5,80,97,16,4,"menor a 7 dias","menor a 7 dias"
"46",46,2,92,91,1,8,"menor a 7 dias","menor a 7 dias"
"47",47,3,90,142,52,8,"menor a 7 dias","menor a 7 dias"
"48",48,3,43,75,32,16,"menor a 7 dias","menor a 7 dias"
"49",49,2,166,507,342,12,"mayor a 14 dias","menor a 7 dias"
"50",50,1,772,88,684,7,"menor a 7 dias","mayor a 14 dias"
"51",51,1,248,359,111,14,"mayor a 14 dias","entre 7 y 14 dias"
"52",52,1,355,460,105,3,"mayor a 14 dias","mayor a 14 dias"
"53",53,3,177,14,162,4,"menor a 7 dias","entre 7 y 14 dias"
"54",54,5,416,294,122,10,"entre 7 y 14 dias","mayor a 14 dias"
"55",55,3,302,122,180,8,"menor a 7 dias","entre 7 y 14 dias"
"56",56,4,292,446,154,2,"mayor a 14 dias","entre 7 y 14 dias"
"57",57,1,307,215,91,1,"entre 7 y 14 dias","entre 7 y 14 dias"
"58",58,1,380,733,354,15,"mayor a 14 dias","mayor a 14 dias"
"59",59,3,293,218,75,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"60",60,1,200,75,125,7,"menor a 7 dias","entre 7 y 14 dias"
"61",61,5,167,376,209,4,"mayor a 14 dias","menor a 7 dias"
"62",62,1,347,68,278,4,"menor a 7 dias","mayor a 14 dias"
"63",63,2,180,24,156,4,"menor a 7 dias","entre 7 y 14 dias"
"64",64,5,361,81,280,4,"menor a 7 dias","mayor a 14 dias"
"65",65,1,274,56,217,10,"menor a 7 dias","entre 7 y 14 dias"
"66",66,2,210,71,139,7,"menor a 7 dias","entre 7 y 14 dias"
"67",67,3,117,183,66,4,"entre 7 y 14 dias","menor a 7 dias"
"68",68,1,518,432,86,16,"mayor a 14 dias","mayor a 14 dias"
"69",69,3,293,150,143,16,"menor a 7 dias","entre 7 y 14 dias"
"70",70,3,184,213,29,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"71",71,2,173,80,93,6,"menor a 7 dias","entre 7 y 14 dias"
"72",72,3,166,773,607,10,"mayor a 14 dias","menor a 7 dias"
"73",73,1,40,57,17,9,"menor a 7 dias","menor a 7 dias"
"74",74,2,174,279,105,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"75",75,3,194,425,231,3,"mayor a 14 dias","entre 7 y 14 dias"
"76",76,5,217,66,151,7,"menor a 7 dias","entre 7 y 14 dias"
"77",77,6,299,45,255,10,"menor a 7 dias","entre 7 y 14 dias"
"78",78,1,121,395,274,12,"mayor a 14 dias","menor a 7 dias"
"79",79,3,456,84,372,10,"menor a 7 dias","mayor a 14 dias"
"80",80,5,122,297,175,7,"entre 7 y 14 dias","menor a 7 dias"
"81",81,4,450,359,91,14,"mayor a 14 dias","mayor a 14 dias"
"82",82,1,319,55,263,7,"menor a 7 dias","entre 7 y 14 dias"
"83",83,2,69,495,427,8,"mayor a 14 dias","menor a 7 dias"
"84",84,5,123,76,47,8,"menor a 7 dias","menor a 7 dias"
"85",85,2,357,851,494,9,"mayor a 14 dias","mayor a 14 dias"
"86",86,5,230,182,48,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"87",87,3,246,7,239,2,"menor a 7 dias","entre 7 y 14 dias"
"88",88,6,406,735,329,16,"mayor a 14 dias","mayor a 14 dias"
"89",89,3,352,236,117,4,"entre 7 y 14 dias","mayor a 14 dias"
"90",90,2,271,249,23,14,"entre 7 y 14 dias","entre 7 y 14 dias"
"91",91,2,237,50,187,6,"menor a 7 dias","entre 7 y 14 dias"
"92",92,3,454,1157,703,8,"mayor a 14 dias","mayor a 14 dias"
"93",93,1,349,578,229,10,"mayor a 14 dias","mayor a 14 dias"
"94",94,2,203,96,107,9,"menor a 7 dias","entre 7 y 14 dias"
"95",95,5,308,172,136,8,"entre 7 y 14 dias","entre 7 y 14 dias"
"96",96,4,181,158,24,7,"menor a 7 dias","entre 7 y 14 dias"
"97",97,3,172,116,55,4,"menor a 7 dias","entre 7 y 14 dias"
"98",98,4,194,326,132,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"99",99,2,282,239,43,8,"entre 7 y 14 dias","entre 7 y 14 dias"
"100",100,6,107,880,772,4,"mayor a 14 dias","menor a 7 dias"
