"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,6,193,18,175,16,"menor a 7 dias","entre 7 y 14 dias"
"2",2,2,304,178,126,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"3",3,3,497,504,7,16,"mayor a 14 dias","mayor a 14 dias"
"4",4,1,493,357,137,7,"mayor a 14 dias","mayor a 14 dias"
"5",5,1,144,13,130,7,"menor a 7 dias","menor a 7 dias"
"6",6,3,247,50,196,10,"menor a 7 dias","entre 7 y 14 dias"
"7",7,3,83,28,56,8,"menor a 7 dias","menor a 7 dias"
"8",8,2,38,662,624,7,"mayor a 14 dias","menor a 7 dias"
"9",9,2,238,132,106,5,"menor a 7 dias","entre 7 y 14 dias"
"10",10,5,77,130,54,8,"menor a 7 dias","menor a 7 dias"
"11",11,6,382,450,68,5,"mayor a 14 dias","mayor a 14 dias"
"12",12,1,258,16,242,2,"menor a 7 dias","entre 7 y 14 dias"
"13",13,2,152,380,227,8,"mayor a 14 dias","menor a 7 dias"
"14",14,5,303,0,303,7,"menor a 7 dias","entre 7 y 14 dias"
"15",15,1,435,615,181,4,"mayor a 14 dias","mayor a 14 dias"
"16",16,3,376,331,44,6,"entre 7 y 14 dias","mayor a 14 dias"
"17",17,1,380,200,179,5,"entre 7 y 14 dias","mayor a 14 dias"
"18",18,2,610,474,136,7,"mayor a 14 dias","mayor a 14 dias"
"19",19,2,341,14,327,1,"menor a 7 dias","mayor a 14 dias"
"20",20,4,152,860,708,16,"mayor a 14 dias","menor a 7 dias"
"21",21,6,335,402,68,4,"mayor a 14 dias","entre 7 y 14 dias"
"22",22,5,517,91,426,8,"menor a 7 dias","mayor a 14 dias"
"23",23,3,55,18,37,7,"menor a 7 dias","menor a 7 dias"
"24",24,4,325,448,123,2,"mayor a 14 dias","entre 7 y 14 dias"
"25",25,2,457,615,158,4,"mayor a 14 dias","mayor a 14 dias"
"26",26,5,289,199,90,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"27",27,3,108,1027,919,16,"mayor a 14 dias","menor a 7 dias"
"28",28,2,259,707,448,16,"mayor a 14 dias","entre 7 y 14 dias"
"29",29,3,176,147,28,8,"menor a 7 dias","entre 7 y 14 dias"
"30",30,3,378,143,235,14,"menor a 7 dias","mayor a 14 dias"
"31",31,4,311,472,161,6,"mayor a 14 dias","entre 7 y 14 dias"
"32",32,2,305,428,123,16,"mayor a 14 dias","entre 7 y 14 dias"
"33",33,1,342,350,8,9,"mayor a 14 dias","mayor a 14 dias"
"34",34,2,101,14,87,4,"menor a 7 dias","menor a 7 dias"
"35",35,2,259,376,117,16,"mayor a 14 dias","entre 7 y 14 dias"
"36",36,6,439,48,391,16,"menor a 7 dias","mayor a 14 dias"
"37",37,2,254,256,2,1,"entre 7 y 14 dias","entre 7 y 14 dias"
"38",38,5,148,121,27,4,"menor a 7 dias","menor a 7 dias"
"39",39,2,245,323,78,8,"entre 7 y 14 dias","entre 7 y 14 dias"
"40",40,1,157,121,36,4,"menor a 7 dias","menor a 7 dias"
